Device ID,Location,City,State,Zip Code,Display Name,Machine ID,Tags,Mobile (#),Mobile (%),Mobile,Cash,Card,Total,Fee,Discounts,Loyalty,Promotions (!),Net
10000287,"
711 Centerview Blvd
Kissimmee
FL
34741
",Kissimmee,FL,34741,Hobby Lobby - Beverage Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10000289,"
711 Centerview Blvd
Kissimmee
FL
34741
",Kissimmee,FL,34741,Hobby Lobby - Snack Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10000290,"
1925 Prospect Ave
Orlando
FL
32814
",Orlando,FL,32814,Cuhaci & Peterson - Snack Machine,2214,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006993,"
100 Technology Pkwy Suite 155
Lake Mary
FL
32746
",Lake Mary,FL,32746,Avella - Snack Machine,2284,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006994,"
100 Technology Pkwy Suite 155
Lake Mary
FL
32746
",Lake Mary,FL,32746,Avella - Beverage Machine,2386,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006995,"
3707 West Colonial Drive
Orlando
FL
32811
",Orlando,FL,32811,GoCo -  GlassFront Machine,2110,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006996,"
2600 Maitland Center Pkwy
Maitlando
FL
32888
",Maitlando,FL,32888,iHeart Media -  Beverage Machine 4th FL,2495,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006997,"
2900 Titan Row Suite 114
Orlando
FL
32809
",Orlando,FL,32809,Fast Mile - Snack Machine,N/A,promo,21,21.23,$22.50,$83.50,$0.00,$106.00,$0.90,$0.00,$0.00,$0.00,$21.60
10006998,"
11486 Corporate Blvd
Orlando
FL
32817
",Orlando,FL,32817,Bank of NY Rouse - Beverage Machine 2nd FL,2241,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10006999,"
3707 West Colonial Drive
Orlando
FL
32811
",Orlando,FL,32811,GoCo -  Snack/ColdFood Machine,2110,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10007000,"
1000 Mid Florida Drive
Orlando
FL
32824
",Orlando,FL,32824,Mondelez - Snack Machine,2137,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10007001,"
1000 Mid Florida Drive
Orlando
FL
2824
",Orlando,FL,2824,Mondelez - Cold Food Machine,2060,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10007002,"
1000 Mid Florida Drive
Orlando
FL
32824
",Orlando,FL,32824,Mondelez - Beverage Machine,2133,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10007003,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher - Snack Machine #13,2199,promo,2,8.57,$2.25,$24.00,$0.00,$26.25,$0.09,$0.00,$0.00,$0.00,$2.16
10007004,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher - Snack Machine #14,2158,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020973,"
2600 Maitland Center Pkwy
Maitland
FL
32751
",Maitland,FL,32751,iHeart Media -  Beverage Machine 3rd FL,3055,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020974,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Coke Machine #11,2160,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020975,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS Teacher - Coke Machine #7,2112,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020976,"
Warehouse
Longwood
FL
32750
",Longwood,FL,32750,Return from ?,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020977,"
1 Jeff Fuqua Blvd
Orlando
FL
32827
",Orlando,FL,32827,United Baggage - Pepsi Machine,2138,promo,11,18.64,$15.75,$68.75,$0.00,$84.50,$0.63,$5.25,$0.00,$0.00,$9.87
10020978,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Coke Machine #12,2176,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020979,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Coke Machine #15,2166,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020980,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Pepsi Machine #5,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020981,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Pepsi Machine #7,2186,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020982,"
8427 South Park Circle Suite 210
Orlando
FL
32819
",Orlando,FL,32819,Strategis Annex - Combo Machine,2036,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020983,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Pepsi Machine #9,2182,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10020984,"
11486 Corporate Blvd
Orlando
FL
32817
",Orlando,FL,32817,Bank of NY Rouse - Snack Machine 3rd FL,2276,promo,18,26.85,$18.30,$49.85,$0.00,$68.15,$0.74,$0.75,$0.00,$0.00,$16.81
10021009,"
1 Jeff Fuqua Blvd
Orlando
FL
32827
",Orlando,FL,32827,United Baggage - Coke Machine,3087,promo,1,5.36,$0.75,$13.25,$0.00,$14.00,$0.03,$0.00,$0.00,$0.00,$0.72
10021010,"
Warehouse
Longwood
FL
32826
",Longwood,FL,32826,Removed From Carley Beverage Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021011,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Pepsi Machine Main Breakroom,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021012,"
Warehouse
Longwood
FL
32826
",Longwood,FL,32826,Removed From Carley Snack Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021013,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Beverage Machine Track Shop,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021014,"
1 Jeff Fuqua Blvd
Orlando
FL
32827
",Orlando,FL,32827,Returned From American Baggage Beverage Machine,3062,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021015,"
1 Jeff Fuqua Blvd
Orlando
FL
32724
",Orlando,FL,32724,United Ops - Beverage machine,2174,promo,12,32.43,$18.00,$37.50,$0.00,$55.50,$0.72,$1.50,$0.00,$0.00,$15.78
10021016,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Snack Machin  Main Breakroom,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021017,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Pepsi Machine Rental Office,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021018,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Snack Machine Office Parts,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021019,"
9901 Ringhaver Dr
Orlando
FL
32824
",Orlando,FL,32824,Ring Power - Coke Machine Main Breakroom,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10021020,"
3225 Lockwood Blvd
Oviedo
FL
32765
",Oviedo,FL,32765,Hagerty HS - Pepsi Machine #1,861,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023085,"
2900 Titan Row Suite 114
Orlando
FL
32809
",Orlando,FL,32809,Fast Mile - Beverage Machine,2293,promo,39,24.65,$52.50,$160.50,$0.00,$213.00,$2.22,$7.50,$0.00,$0.00,$42.78
10023086,"
1033 Semoran Blvd
Orlando
FL
32803
",Orlando,FL,32803,Fedex Bennet - Beverage Machine,2097,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023087,"
Warehouse
Longwood
FL
32809
",Longwood,FL,32809,Removed From LaserShip Snack Machine,2058,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023088,"
2500 North Orange Blossom Trail
Orlando
FL
32804
",Orlando,FL,32804,L3 Adv Laser Systems - Drink Machine,2215,promo,1,6.12,$0.75,$11.50,$0.00,$12.25,$0.03,$0.00,$0.00,$0.00,$0.72
10023089,"
Warehouse
Longwood
FL
32750
",Longwood,FL,32750,Return from ?,2116,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023090,"
Warehouse
Longwood
FL
32837
",Longwood,FL,32837,Removed From Jerry Leigh Beverage Machine,2232,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023091,"
7453 TG Lee Blvd
Orlando
FL
32822
",Orlando,FL,32822,Oracle - Snack Machine,N/A,promo,60,45.58,$68.25,$81.50,$0.00,$149.75,$2.73,$6.50,$0.00,$0.00,$59.02
10023092,"
2500 North Orange Blossom Trail
Orlando
FL
32804
",Orlando,FL,32804,L3 Adv Laser Systems - Snack Machine,2200,promo,2,2.1,$1.80,$84.00,$0.00,$85.80,$0.08,$0.00,$0.00,$0.00,$1.72
10023093,"
7675 Municipal Dr
Orlando
FL
32819
",Orlando,FL,32819,L3 Coleman - Snack Machine,2236,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023094,"
7675 Municipal Dr
Orlando
FL
32819
",Orlando,FL,32819,L3 Coleman - GlassFront Machine,2259,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023095,"
525 Technology Pkwy Suite 153
Lake Mary
FL
32746
",Lake Mary,FL,32746,Axium Healthcare - Snack Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
10023096,"
525 Technology Pkwy Suite 153
Lake Mary
FL
32746
",Lake Mary,FL,32746,Axium Healthcare - Drink Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003487,"
1001 Heathrow Park Ln
lake Mary
FL
32746
",lake Mary,FL,32746,Paychex - Snack Machine,2207,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003488,"
1865 South Semoran Blvd
Winter Park
FL
32792
",Winter Park,FL,32792,Herzing - Snack Machine 1st FL,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003489,"
400 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Mitsubishi North - Beverage Machine 5th FL,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003490,"
4113 South Orlando Dr
Sanford
FL
32773
",Sanford,FL,32773,Subaru - Beverage Machine,2315,promo,6,10.58,$4.50,$38.05,$0.00,$42.55,$0.24,$0.00,$0.00,$0.00,$4.26
20003491,"
283 Cranes Roost Blvd
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Altamonte Lakeside - Snack Machine,2268,promo,8,100,$9.50,$0.00,$0.00,$9.50,$0.52,$0.00,$0.00,$0.00,$8.98
20003492,"
300 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Pershing - Snack Machine,2098,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003493,"
1865 South Semoran Blvd
Winter Park
FL
32792
",Winter Park,FL,32792,Herzing - GlassFront Machine 1st FL,2043,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003494,"
1001 Heathrow Park Ln
Lake Mary
FL
32746
",Lake Mary,FL,32746,Paychex - Beverage Machine,2159,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003495,"
240 East Central Pkwy
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Center Pointe 1 - Beverage Machine,2152,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003496,"
400 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Mitsubishi North - Snack Machine 4th FL,2181,promo,5,9.59,$5.90,$25.45,$30.20,$61.55,$0.33,$0.00,$0.00,$0.00,$5.57
20003497,"
300 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Pershing - GlassFront Machine,2331,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20003498,"
332 North Magnolia Ave
Orlando
FL
32801
",Orlando,FL,32801,DBKMSN - Combo Machine 2nd FL,2263,promo,17,100,$17.75,$0.00,$0.00,$17.75,$0.96,$0.00,$0.00,$0.00,$16.79
20004231,"
240 East Central Pkwy
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Center Pointe 1 -  Snack Machine,2026,promo,3,5.39,$2.75,$21.75,$26.50,$51.00,$0.14,$0.00,$0.00,$0.00,$2.61
20004232,"
240 East Central Pkwy
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Center Pointe 2 - Snack Machine,2224,promo,4,2.93,$4.25,$82.75,$58.15,$145.15,$0.23,$0.00,$0.00,$0.00,$4.02
20004233,"
332 North Magnolia Ave
Orlando
FL
32801
",Orlando,FL,32801,DBKSMN - Snack Machine 2nd FL,2288,promo,2,100,$2.00,$0.00,$0.00,$2.00,$0.10,$0.00,$0.00,$0.00,$1.90
20004234,"
332 North Magnolia Ave
Orlando
FL
32801
",Orlando,FL,32801,DBKMSN - Beverage Machine 2nd FL,2254,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004235,"
400 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Mitsubishi North - Beverage Machine 4th FL,2096,promo,1,7.42,$0.85,$7.65,$2.95,$11.45,$0.05,$0.00,$0.00,$0.00,$0.80
20004236,"
485 Noth Keller Road
Maitland
FL
32751
",Maitland,FL,32751,Allstate - Beverage Machine,2044,promo,5,14.71,$3.75,$21.75,$0.00,$25.50,$0.20,$0.00,$0.00,$0.00,$3.55
20004237,"
12661 Challenger Pkwy
Orlando
FL
32826
",Orlando,FL,32826,JNR Adjustments - Snack Machine,2355,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004238,"
400 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Mitsubishi North - Snack Machine 5th FL,2231,promo,4,100,$5.25,$0.00,$0.00,$5.25,$0.28,$0.00,$0.00,$0.00,$4.97
20004239,"
485 Noth Keller Road
Maitland
FL
32751
",Maitland,FL,32751,Allstate - Snack Machine,2050,promo,1,6.08,$1.00,$15.45,$0.00,$16.45,$0.05,$0.00,$0.00,$0.00,$0.95
20004240,"
12661 Challenger Pkwy
Orlando
FL
32826
",Orlando,FL,32826,JNR Adjustments -  BeverageMachine,2413,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004241,"
8675 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Central FL Chrysler - Snack Machine Maintenance,2170,promo,3,5.33,$3.00,$33.25,$20.00,$56.25,$0.15,$0.00,$0.00,$0.00,$2.85
20004242,"
100 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Bank of NY LM - GlassFront Machine 3rd FL,2472,promo,4,4.23,$6.00,$56.25,$79.50,$141.75,$0.32,$0.00,$0.00,$0.00,$5.68
20004267,"
1002 North Semoran Blvd
Orlando
FL
32807
",Orlando,FL,32807,Orlando Methadone - Snack Machine,2126,promo,1,9.92,$1.25,$11.35,$0.00,$12.60,$0.07,$0.00,$0.00,$0.00,$1.18
20004268,"
8675 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Central FL Chrysler - GlassFront Machine Showroom,2091,promo,3,3.93,$5.00,$59.00,$63.25,$127.25,$0.28,$0.00,$0.00,$0.00,$4.72
20004269,"
8675 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Central FL Chrysler - Snack Machine 2nd FL Employee,2163,promo,2,4.37,$1.75,$37.55,$0.75,$40.05,$0.09,$0.00,$0.00,$0.00,$1.66
20004270,"
5175 West Irlo Bronson Memorial Hwy
Kissimmee
FL
34746
",Kissimmee,FL,34746,Camping World - GlassFront Machine,2297,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004271,"
330 Carswell Ave
Holly Hill
FL
32117
",Holly Hill,FL,32117,Product Quest - Ice Cream Machine,2018,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004272,"
8541 South Park Circle
Orlando
FL
32819
",Orlando,FL,32819,Strayer Sand Lake - Beverage Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004273,"
8675 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Central FL Chrysler - Beverage Machine 2nd FL Employee,2161,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004274,"
201 Dyer Blvd
Kissimmee
FL
34741
",Kissimmee,FL,34741,Signature Flight Kissimmee - Snack Machine,2238,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004275,"
8675 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Central FL Chrysler - Beverage Machine Maintenance,2216,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004276,"
8541 South Park Circle
Orlando
FL
32819
",Orlando,FL,32819,Strayer Sand Lake - Snack Machine,2226,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004277,"
2500 Universal Studios Plaze
Orlando
FL
",Orlando,FL,,DAVE School - GlassFront Machine 3rd FL,2168,promo,1,37.5,$1.50,$2.50,$0.00,$4.00,$0.08,$0.00,$0.00,$0.00,$1.42
20004278,"
1002 North Semoran Blvd
Orlando
FL
32807
",Orlando,FL,32807,Orlando Methadone Clinic - Beverage Machine,2146,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004303,"
2651 Orange Ave
Apopka
FL
32703
",Apopka,FL,32703,Coca-Cola Apopka - Snack Machine Breakroom,2029,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004304,"
Warehouse
Longwood
FL
32819
",Longwood,FL,32819,Removed From DAVE School GlassFront Machine,2087,promo,2,3.54,$4.00,$6.50,$102.50,$113.00,$0.22,$0.00,$0.00,$0.00,$3.78
20004305,"
8545 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Strategis - GlassFront Machine,2221,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004306,"
100 Colonial Center Pkwy
Lake Mary
FL
32746
",Lake Mary,FL,32746,Bank of NY LM - Beverage Machine 4th FL,2382,promo,2,40,$1.50,$2.25,$0.00,$3.75,$0.08,$0.00,$0.00,$0.00,$1.42
20004307,"
283 Cranes Roost Blvd
Altamonte Springs
FL
32701
",Altamonte Springs,FL,32701,Altamonte Lakeside - Beverage Machine,2045,promo,3,16.67,$3.00,$15.00,$0.00,$18.00,$0.15,$0.00,$0.00,$0.00,$2.85
20004308,"
2500 Universal Studios Plaze
Orlando
FL
32819
",Orlando,FL,32819,DAVE School - Snack Machine 3rd FL,2352,promo,2,6.97,$2.50,$11.25,$22.10,$35.85,$0.14,$0.00,$0.00,$0.00,$2.36
20004309,"
8545 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Strategis - Cold Food Machine,2089,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004310,"
2500 Universal Studios Plaze
Orlando
FL
32819
",Orlando,FL,32819,DAVE School - Beverage Machine 1st FL,2122,promo,5,50,$4.25,$4.25,$0.00,$8.50,$0.25,$0.00,$0.00,$0.00,$4.00
20004311,"
8545 Commodity Circle
Orlando
FL
32819
",Orlando,FL,32819,Strategis - Snack Machine,2260,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004312,"
2500 Maitland Center Pkwy
Maitland
FL
32751
",Maitland,FL,32751,Colonial Management Group - Snack Machine,2318,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004313,"
2500 Universal Studios Plaze
Orlando
FL
32819
",Orlando,FL,32819,DAVE School - Beverage Machine 2nd FL,2285,promo,9,7.37,$14.85,$11.19,$175.45,$201.49,$0.81,$0.00,$0.00,$0.00,$14.04
20004314,"
2500 Universal Studios Plaze
Orlando
FL
32819
",Orlando,FL,32819,DAVE School - Snack Machine 2nd FL,2188,promo,6,4.46,$6.50,$34.25,$104.85,$145.60,$0.34,$0.00,$0.00,$0.00,$6.16
20004615,"
3130 Edgewater Dr
Orlando
FL
32804
",Orlando,FL,32804,FDLRS - Beverage Machine,2466,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004616,"
1 Jeff Fuqua Blvd
Tavares
FL
32778
",Tavares,FL,32778,United Ticketing - Beverage Machine,2235,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004617,"
3130 Edgewater Dr
Orlando
FL
32804
",Orlando,FL,32804,FDLRS - Snack Machine,2358,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004618,"
6424 Forest City Road
Orlando
FL
32810
",Orlando,FL,32810,AKT - Beverage Machine,2003,,9,28.47,$9.75,$24.50,$0.00,$34.25,$0.51,$1.25,$0.00,$0.00,$7.99
20004619,"
Warehouse
Longwood
FL
32824
",Longwood,FL,32824,Removed From Niaflex(Cypress) Snack Machine,2124,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004620,"
Warehouse
Longwood
FL
32824
",Longwood,FL,32824,Removed From Niaflex(Cypress) Beverage Machine,N/A,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004621,"
100 Colonial Center Pkwy
Eustis
FL
32726
",Eustis,FL,32726,Bank of NY LM - Snack Machine 2nd FL,2006,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004623,"
5728 Major Blvd
Kissimmee
FL
34746
",Kissimmee,FL,34746,Major Center 1 - Snack Machine,2434,promo,3,100,$3.50,$0.00,$0.00,$3.50,$0.19,$0.00,$0.00,$0.00,$3.31
20004624,"
1900 Hotel Plaze Blvd
Orlando
FL
32827
",Orlando,FL,32827,Reedy Creek Development - Snack Machine,2271,promo,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20004625,"
7675 Currenct Drive
Orlando
FL
32809
",Orlando,FL,32809,Fedex Sand Lake - Snack Machine,N/A,promo,1,17.86,$1.25,$5.75,$0.00,$7.00,$0.07,$0.00,$0.00,$0.00,$1.18
